"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu-focal-rax-dfw-0027048694",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","21 Oct 2021 21:58:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
21-10 22:03:02,11.373,1.750,84.236,1.625,0,1234536,382948,1203540,4986676,142969.552,142969.552,0,7086.788,0,437.925,2963,3530,1.830,1.620,1.110,1,0,25.996,0,0,11,28,0,62,0
21-10 22:03:03,11.746,1.250,86.344,0.375,0,1266036,351448,1203688,4986528,0,0,0,2743.002,0,183.933,1387,1597,1.830,1.620,1.110,1,0,1.000,0,0,11,28,0,62,0
21-10 22:03:04,11.751,0.750,85.507,1.000,0.125,1284204,332800,1203992,4986692,116067.518,116067.518,0,7356.603,0,479.039,3284,3750,1.830,1.620,1.110,1,0,0,0,0,11,28,0,65,0
21-10 22:03:05,5.626,10.501,82.384,0.375,0.125,1220596,396376,1204056,4986800,7101.739,72500.540,0,1700.177,0,239.025,6333,5453,1.830,1.620,1.110,2,0,535.056,0,0,11,28,0,66,0
21-10 22:03:06,30.869,5.624,62.737,0.250,0.125,1301780,314948,1204172,4986928,29229.008,31827.475,0,907.814,0,79.984,3268,3071,1.920,1.650,1.120,3,0,122.975,0,0,11,28,0,71,0
21-10 22:03:07,34.125,3.750,61.750,0.125,0.125,1426616,189440,1204256,4987444,0,0,0,736.003,0,54.000,1681,1360,1.920,1.650,1.120,3,0,3.000,0,0,11,28,0,71,0
21-10 22:03:08,34.234,3.623,60.472,1.124,0,1509704,135968,1204652,4957288,103.952,187.913,0,8859.916,0,539.751,3212,2687,1.920,1.650,1.120,1,0,0,0,67.969,11,28,0,71,0
21-10 22:03:09,33.528,2.752,61.300,1.626,0.125,1561528,146320,1204976,4893740,14585.990,14585.990,0,10880.944,0,668.550,3753,3142,1.920,1.650,1.120,5,0,0,0,203.167,11,34,0,71,0
21-10 22:03:10,22.379,1.625,61.386,9.002,0.125,1561888,131356,1209280,4903728,36780.510,52113.224,0,35622.305,0,3299.584,23262,25819,1.920,1.650,1.120,2,1,0,0,0,11,34,0,71,0
21-10 22:03:11,19.739,2.374,65.087,9.370,0.375,1565460,131292,1212476,4896568,35086.755,35100.747,0,31297.941,0,3303.094,22827,27512,2.170,1.700,1.140,3,0,0,0,32.981,11,34,0,71,0
21-10 22:03:12,24.259,3.001,58.772,9.378,0.500,1476444,209592,1214600,4904816,28462.560,29571.971,0,28350.518,0,2885.070,22690,24068,2.170,1.700,1.140,4,0,14.005,0,0,11,32,0,71,0
21-10 22:03:13,25.379,2.000,57.510,9.877,0.375,1511980,165964,1216052,4911220,26409.384,26423.386,0,25484.230,0,2721.452,21257,22968,2.170,1.700,1.140,4,0,2.000,0,0,11,32,0,71,0
21-10 22:03:14,23.628,2.125,59.507,10.126,0.250,1551368,117020,1218976,4917576,24731.993,24745.994,0,25311.063,0,2579.312,19024,21269,2.170,1.700,1.140,4,0,0,0,0,11,32,0,71,0
21-10 22:03:15,28.476,1.998,60.949,6.245,0.250,1588316,127020,1221224,4867608,174012.352,174062.310,0,20974.444,0,1906.404,13309,15744,2.170,1.700,1.140,3,1,0,0,148.875,11,34,0,71,0
21-10 22:03:16,17.888,3.002,66.423,9.132,0.375,1487224,224296,1224668,4867564,33899.679,34482.103,0,34873.388,0,3066.232,20317,24048,2.240,1.720,1.150,1,1,61.044,0,24.017,11,32,0,71,0
21-10 22:03:17,19.374,2.875,72.247,4.000,0.250,1265036,442256,1226288,4870040,8499.652,8650.645,0,13639.441,0,1245.949,10291,10980,2.240,1.720,1.150,1,0,105.996,0,0,11,28,0,71,0
21-10 22:03:18,10.243,2.873,85.064,0.999,0,1293000,413888,1226616,4870096,401.713,36923.637,0,4792.578,0,335.760,3165,3166,2.240,1.720,1.150,1,0,107.923,0,0,11,28,0,71,0
21-10 22:03:19,11.884,1.751,83.564,1.876,0.250,1334124,372160,1227064,4870304,194.148,208.159,216.165,9487.239,24.018,660.504,3290,3287,2.240,1.720,1.150,1,0,10.008,0,0,11,28,0,71,0
21-10 22:03:20,11.625,1.125,84.997,1.500,0,1369168,336612,1227556,4870304,89.997,103.996,0,7327.722,0,488.981,2649,2807,2.240,1.720,1.150,1,0,0,0,0,11,28,0,71,0
21-10 22:03:21,12.374,0.750,84.494,1.500,0.250,1384028,321264,1228028,4870308,76102.825,77526.728,0,7511.489,0,500.966,3160,3126,2.140,1.710,1.150,1,0,5.000,0,0,11,34,0,71,0
21-10 22:03:22,11.126,1.875,86.258,0.500,0,1294936,410148,1228224,4870312,831.076,1628.148,0,3128.285,0,204.019,1715,1765,2.140,1.710,1.150,1,0,16.001,0,0,11,28,0,71,0
21-10 22:03:23,11.125,1.375,86.247,0.375,0,1338784,366108,1228408,4870312,0,0,0,2887.896,0,183.993,1486,1653,2.140,1.710,1.150,1,0,1.000,0,0,11,28,0,71,0
21-10 22:03:24,11.869,1.124,84.957,1.499,0,1372752,331792,1228844,4870220,0,0,0,7236.346,0,477.759,2394,2691,2.140,1.710,1.150,2,0,0,0,0,11,28,0,71,0
21-10 22:03:25,10.880,3.877,82.662,1.376,0,1269176,434688,1229252,4870472,8850.956,10091.511,156.070,7255.243,19.008,494.221,4274,4731,2.140,1.710,1.150,2,0,226.101,0,0,11,28,0,71,0
21-10 22:03:26,9.871,17.868,70.224,0.375,0,1269276,433672,1229376,4871312,1345.509,22927.631,519.810,2007.267,48.982,137.950,12311,11969,2.290,1.750,1.160,1,0,994.637,0,0,12,8,0,71,20
21-10 22:03:27,12.130,8.753,76.153,1.125,0.250,1278292,422964,1229704,4871284,208.078,7200.693,24.009,7254.713,3.001,459.172,8189,7372,2.290,1.750,1.160,2,0,268.100,0,0,12,8,0,71,20
21-10 22:03:28,21.002,9.251,66.758,1.250,0.125,1328708,370460,1230124,4872576,104.012,4364.506,744.086,7304.847,33.004,475.055,9138,7879,2.290,1.750,1.160,2,0,250.029,0,0,14,8,0,71,20
21-10 22:03:29,22.376,11.126,63.254,1.375,0,1366312,331416,1230564,4873488,1298.080,6045.375,316.020,7356.456,15.001,467.029,11198,13680,2.290,1.750,1.160,2,0,250.016,0,0,16,8,0,71,20
21-10 22:03:30,17.745,9.622,70.606,1.000,0.500,1399656,297148,1230964,4873524,207.945,7921.909,35.990,9237.561,5.998,731.807,8868,8533,2.290,1.750,1.160,4,0,359.905,0,0,16,8,0,71,20
21-10 22:03:31,16.376,9.751,71.381,1.125,0.125,1431456,264424,1231400,4873552,208.019,8989.809,56.005,7492.674,4.000,477.043,8598,7921,2.260,1.760,1.170,2,0,258.023,0,0,18,8,0,71,20
21-10 22:03:32,15.489,10.243,72.323,0.999,0.250,1447360,246440,1231656,4875160,207.852,7792.444,1171.165,4272.953,61.956,267.809,8598,8054,2.260,1.760,1.170,1,0,385.725,0,0,18,8,0,71,20
21-10 22:03:33,11.759,4.628,82.185,0,0.125,1458404,235176,1231656,4874856,5826.276,9313.836,0,0,0,0,5949,6449,2.260,1.760,1.170,1,0,93.068,0,0,18,8,0,65,20
21-10 22:03:34,11.250,2.250,86.001,0,0,1490124,203104,1231656,4875060,5862.047,6186.049,112.001,0,7.000,0,1418,1784,2.260,1.760,1.170,1,0,11.000,0,0,18,8,0,65,20
21-10 22:03:35,12.626,0.375,86.132,0.125,0,1505832,186600,1231660,4875704,5130.436,5311.451,256.022,1928.164,11.001,109.009,1386,1645,2.260,1.760,1.170,1,0,4.000,0,0,19,11,0,65,20
21-10 22:03:36,7.000,8.250,84.254,0,0,1510216,182156,1231668,4875748,4709.217,21661.996,0,220.010,0,12.001,5674,5572,2.240,1.760,1.170,1,0,478.022,0,0,19,10,0,65,20
21-10 22:03:37,8.624,6.999,81.366,0,0.250,1511320,180960,1231676,4876024,149.983,2287.735,0,187.978,0,12.998,8103,8240,2.240,1.760,1.170,1,0,225.974,0,0,19,10,0,64,20
21-10 22:03:38,21.496,4.124,73.987,0,0,1571116,120704,1231680,4876436,416.926,3544.369,79.986,27.995,4.999,1.000,3173,3189,2.240,1.760,1.170,2,0,71.987,0,0,19,11,0,64,20
21-10 22:03:39,22.991,2.999,72.347,0.750,0,1621676,123748,1231560,4823540,0,0,31.988,6133.657,5.998,591.774,2444,2061,2.240,1.760,1.170,2,0,0,0,159.939,19,11,0,61,20
21-10 22:03:40,24.512,1.376,73.412,0,0,1676588,129496,1231440,4762272,0,0,172.088,684.348,10.005,20.010,1573,1870,2.240,1.760,1.170,2,0,0,0,171.087,19,11,0,61,20
21-10 22:03:41,24.983,3.248,71.076,0.125,0.125,1707460,128024,1231380,4732476,91.937,167.884,311.785,403.721,53.963,15.989,2998,8122,2.220,1.760,1.180,3,0,8.994,0,100.930,19,11,0,61,20
21-10 22:03:42,24.640,1.751,71.167,0.750,0,1750684,125660,1231352,4690964,57588.920,57588.920,56.033,8368.929,8.005,505.298,5055,7305,2.220,1.760,1.180,3,0,5.003,0,128.075,19,27,0,53,20
21-10 22:03:43,13.743,6.247,78.582,0.250,0.125,1760880,132936,1231324,4672704,1171.363,6374.532,759.587,407.778,28.984,23.987,7592,8434,2.220,1.760,1.180,5,0,222.879,0,70.961,19,26,0,54,20
21-10 22:03:44,3.502,2.001,92.927,0,0.125,1762504,130948,1231324,4672656,52.029,1415.799,168.095,0,14.008,0,2540,2782,2.220,1.760,1.180,0,0,39.022,0,0,19,26,0,54,20
21-10 22:03:45,0.625,0.125,98.767,0,0,1763044,130388,1231324,4672676,46.008,82.014,20.003,0,5.001,0,939,1552,2.220,1.760,1.180,0,0,3.001,0,0,19,26,0,54,20
21-10 22:03:46,0.874,0.125,98.441,0,0,1762944,130404,1231324,4672728,0,0,47.971,0,5.996,0,1069,1705,2.040,1.730,1.170,0,0,4.997,0,0,19,26,0,47,20
21-10 22:03:47,0.250,0,98.925,0.125,0.125,1762936,130404,1231332,4672728,0,0,0,120.061,0,4.002,901,1501,2.040,1.730,1.170,0,0,1.001,0,0,19,26,0,47,20
21-10 22:03:48,5.500,4.750,89.257,0,0.125,1760140,133512,1231340,4673092,52.004,295.022,144.011,64.005,17.001,3.000,6503,6121,2.040,1.730,1.170,1,0,160.012,0,0,19,26,0,41,20
21-10 22:03:49,9.250,8.125,80.624,0,0.250,1759772,133568,1231340,4673016,103.999,2074.973,55.999,4.000,11.000,1.000,9911,9457,2.040,1.730,1.170,1,0,233.997,0,0,20,26,0,41,20
21-10 22:03:50,10.117,8.119,79.187,0.250,0.250,1838764,130484,1231032,4596084,259.793,4595.342,147.882,3784.987,25.979,469.626,10061,10561,2.040,1.730,1.170,1,0,197.843,0,292.767,20,26,0,35,20
21-10 22:03:51,3.002,3.627,91.927,0,0.125,1836568,132172,1231032,4596328,152.087,762.434,240.137,4.002,33.019,1.001,4321,4343,1.880,1.710,1.170,0,0,109.062,0,0,20,26,0,35,20
21-10 22:03:52,9.749,6.749,81.989,0,0,1840872,127336,1231032,4596900,34737.345,37682.950,239.968,0,34.995,0,7644,9131,1.880,1.710,1.170,1,0,141.981,0,0,22,28,0,34,20
21-10 22:03:53,8.877,8.877,80.896,0,0.125,1841924,125732,1231040,4597440,34370.833,42429.904,68.017,68.017,15.004,10.003,9338,9488,1.880,1.710,1.170,3,0,363.093,0,0,22,28,0,34,20
21-10 22:03:54,16.494,8.497,73.222,0.125,0,1865408,116984,1230988,4582716,297.887,4621.253,0,3806.561,0,410.845,9920,9645,1.880,1.710,1.170,1,0,196.926,0,64.975,22,28,0,26,20
21-10 22:03:55,17.998,8.249,73.116,0.125,0.375,1825388,178204,1230896,4561416,207.976,1381.838,163.981,291.966,12.998,14.998,7219,7077,1.880,1.710,1.170,2,0,170.980,0,72.991,22,28,0,26,20
21-10 22:03:56,22.256,10.753,64.517,0.375,0.125,1944428,134512,1230520,4485988,246.066,2358.637,56.015,3480.940,5.001,356.096,11162,11128,1.890,1.710,1.170,4,0,207.056,0,383.103,22,28,0,17,20
21-10 22:03:57,27.137,12.756,58.526,0.625,0.250,1989404,118668,1230524,4456372,201231.548,201960.873,1168.520,6002.671,117.052,599.267,12355,15347,1.890,1.710,1.170,3,0,135.060,0,116.052,20,28,0,18,20
21-10 22:03:58,24.623,10.499,62.869,0,0.125,2005056,176064,1230492,4382944,114000.284,116279.070,311.971,2515.764,26.997,251.976,10468,10022,1.890,1.710,1.170,2,0,172.984,0,296.972,22,36,0,15,20
21-10 22:03:59,17.249,4.375,77.372,0.125,0,2039140,139520,1230504,4383536,103.996,420.984,515.981,215.992,57.998,9.000,6160,6783,1.890,1.710,1.170,2,0,25.999,0,0,22,36,0,15,20
21-10 22:04:00,20.356,9.741,68.310,0.125,0.125,1875164,302764,1230504,4384348,1009.046,12564.127,347.671,103.902,34.967,8.992,7000,7913,1.890,1.710,1.170,3,0,419.603,0,0,22,28,0,15,20
21-10 22:04:01,25.648,9.008,63.683,0,0,1932672,244588,1230504,4384400,208.189,6585.973,168.153,0,21.019,0,9075,10145,1.900,1.720,1.180,3,0,209.190,0,0,22,28,0,15,20
21-10 22:04:02,28.252,7.251,63.880,0.125,0.250,1979872,195932,1230508,4385592,412.032,6575.506,1144.088,0,72.006,0,4712,4088,1.900,1.720,1.180,2,0,205.016,12.001,0,22,26,0,15,20
21-10 22:04:03,26.998,3.375,67.619,0.625,0.125,2080228,124000,1230360,4358440,200801.530,200801.530,23.998,6023.476,3.000,676.941,3580,4888,1.900,1.720,1.180,2,0,8.999,0,107.991,22,34,0,16,20
21-10 22:04:04,23.360,3.248,72.455,0.250,0,2117800,150076,1229988,4293812,199.876,199.876,475.704,1762.903,69.956,65.959,2180,3455,1.900,1.720,1.180,2,0,6.996,0,368.771,22,34,0,15,20
21-10 22:04:05,21.906,2.754,74.481,0.125,0.125,2163388,128432,1230088,4269536,3004.257,3004.257,368.522,28.040,55.078,3.004,2207,4633,1.900,1.720,1.180,2,0,6.009,0,64.091,22,36,0,15,20
21-10 22:04:06,12.491,0.500,79.442,4.372,0.250,2171604,130164,1232176,4256976,214928.887,214928.887,7.994,10987.968,0.999,1448.941,11996,13466,1.830,1.700,1.180,1,1,6.995,0,57.958,22,36,0,6,20
21-10 22:04:07,12.005,0.875,76.779,6.753,0.250,2172036,128368,1234944,4255072,371620.101,371620.101,0,20747.822,0,1926.726,13896,16236,1.830,1.700,1.180,3,0,4.002,0,63.024,22,36,0,6,20
21-10 22:04:08,12.247,1.000,77.104,6.498,0.250,2174520,118240,1237864,4259508,359894.109,359894.109,271.926,15299.838,41.989,1780.516,13236,15890,1.830,1.700,1.180,1,0,4.999,0,0,22,36,0,6,20
21-10 22:04:09,28.225,8.118,61.821,0.624,0,2290304,121988,1237004,4139108,458838.058,465772.983,827.275,9491.685,138.878,746.346,10541,15315,1.830,1.700,1.180,4,0,164.856,0,597.477,23,54,0,8,20
21-10 22:04:10,15.763,10.133,70.808,1.126,0.375,2324080,126116,1236636,4100444,121019.115,124498.965,2658.177,6173.056,332.272,611.501,9679,8599,1.830,1.700,1.180,1,0,286.234,0,211.173,23,61,0,8,20
21-10 22:04:11,16.873,5.999,74.615,0.250,0.125,2372340,125904,1236156,4052780,5312.283,8698.826,2195.704,3795.488,97.987,404.945,5069,6350,1.760,1.690,1.170,2,0,98.987,0,238.968,23,63,0,8,20
21-10 22:04:12,24.249,2.125,72.123,0.750,0,2425868,129856,1235808,3994792,0,0,203.994,6571.823,30.999,395.989,2888,3024,1.760,1.690,1.170,2,0,0,0,289.992,23,63,0,8,20
21-10 22:04:13,23.127,2.500,73.255,0.250,0,2468784,117468,1235488,3964116,377.028,391.029,420.031,888.066,52.004,56.004,2407,2682,1.760,1.690,1.170,2,0,0,0,189.014,23,63,0,8,20
21-10 22:04:14,6.371,9.744,81.576,1.124,0.250,2487020,118596,1235560,3944252,52925.509,74166.871,7.995,6028.413,1.999,376.776,8618,8361,1.760,1.690,1.170,1,0,547.674,0,62.963,23,65,0,9,20
21-10 22:04:15,11.882,1.501,85.673,0,0,2518656,127640,1235112,3903660,90.050,104.058,0,948.530,0,60.034,1573,2113,1.760,1.690,1.170,1,0,1.001,0,226.126,23,65,0,9,20
21-10 22:04:16,12.127,1.000,86.261,0,0.125,2540264,118188,1234972,3891260,119550.063,119564.065,16.002,652.082,4.001,32.004,2298,2719,1.700,1.680,1.170,1,0,2.000,0,108.014,23,67,0,10,2
21-10 22:04:17,11.498,2.375,85.859,0,0,2497408,161036,1234972,3891268,82733.694,84449.377,0,0,0,0,2652,2887,1.700,1.680,1.170,1,0,58.989,0,0,23,65,0,10,0
21-10 22:04:18,11.624,1.500,86.246,0,0,2531428,127016,1234980,3891260,324.983,338.982,0,47.998,0,3.000,1465,1864,1.700,1.680,1.170,3,0,1.000,0,0,23,65,0,10,0
21-10 22:04:19,12.740,0.625,85.436,0,0,2549904,126204,1234732,3873728,274804.721,274818.710,7.994,247.815,1.999,13.990,3050,3366,1.700,1.680,1.170,1,0,0,0,61.954,23,72,0,12,0
21-10 22:04:20,16.376,2.000,80.880,0.125,0.125,2516704,173588,1234580,3859512,179970.798,185654.139,8.000,488.029,2.000,36.002,2938,3518,1.700,1.680,1.170,1,0,33.002,0,77.005,23,71,0,12,0
21-10 22:04:21,11.758,2.126,85.435,0,0.125,2545816,143440,1234604,3859584,52.037,94.066,36.025,100.070,4.003,9.006,1654,2587,1.640,1.670,1.170,1,0,10.007,0,0,23,71,0,12,0
21-10 22:04:22,11.502,1.500,86.267,0,0,2569208,120032,1234612,3859596,99509.305,99523.308,4.001,256.050,1.000,31.006,2058,2436,1.640,1.670,1.170,1,0,0,0,0,23,72,0,13,0
21-10 22:04:23,12.499,1.000,85.492,0.375,0,2587480,125892,1234428,3836140,269866.633,269872.632,223.979,887.917,29.997,74.993,3394,4328,1.640,1.670,1.170,1,0,0,0,150.986,23,73,0,14,0
21-10 22:04:24,11.748,1.250,85.736,0.250,0.125,2554896,159160,1234464,3835420,103.983,779.873,0,395.935,0,28.995,1802,2381,1.640,1.670,1.170,1,0,26.996,0,0,23,73,0,14,0
21-10 22:04:25,12.253,1.250,86.144,0,0,2588296,125748,1234476,3835420,0,0,48.010,296.064,12.003,18.004,1342,1897,1.640,1.670,1.170,1,0,0,12.003,0,23,73,0,14,0
21-10 22:04:26,12.486,0.874,85.405,0.250,0.125,2596872,128880,1234444,3823564,282954.355,282954.355,11.987,1174.694,1.998,108.879,4099,5048,1.670,1.670,1.180,1,0,1.998,0,78.912,23,73,0,15,0
21-10 22:04:27,11.386,1.877,85.583,0.125,0.125,2569752,155956,1234488,3823564,52.051,1249.218,0,516.504,0,35.034,1881,2378,1.670,1.670,1.180,1,0,42.041,0,0,23,73,0,15,0
21-10 22:04:28,12.501,0.625,86.135,0,0.125,2596732,128904,1234520,3823568,68414.799,68428.801,4.000,568.065,1.000,49.006,1875,2341,1.670,1.670,1.180,1,0,0,1.000,0,23,75,0,16,0
21-10 22:04:29,17.003,2.626,78.390,0.250,0.125,2604948,155800,1234272,3788204,400287.857,400287.857,36.007,2236.441,9.002,200.039,7379,10614,1.670,1.670,1.180,3,1,45.009,9.002,213.042,23,79,0,19,0
21-10 22:04:30,12.371,1.874,83.976,0.250,0.125,2564256,195976,1234508,3788420,181686.493,185330.440,71.979,1111.679,6.998,121.965,4181,5422,1.670,1.670,1.180,1,0,88.974,1.000,0,23,78,0,19,0
21-10 22:04:31,11.509,1.626,86.067,0.125,0,2596920,163248,1234540,3788452,0,0,0,488.383,0,31.024,1406,1912,1.620,1.660,1.180,1,0,1.001,0,0,23,78,0,18,0
21-10 22:04:32,11.981,0.874,85.738,0.374,0,2615752,144212,1234668,3788508,181683.397,181683.397,0,1908.957,0,128.795,3013,3585,1.620,1.660,1.180,1,0,0,0,0,23,80,0,19,0
21-10 22:04:33,13.255,0.750,84.905,0.250,0,2625960,133632,1234808,3788692,407426.636,407426.636,0,708.251,0,84.030,4051,5061,1.620,1.660,1.180,1,0,0,0,0,23,79,0,22,0
21-10 22:04:34,12.382,1.626,84.295,0.125,0,2576228,183140,1234964,3788720,305537.324,308220.741,0,828.437,0,91.048,3851,4878,1.620,1.660,1.180,1,0,92.049,0,0,23,78,0,22,0
21-10 22:04:35,11.498,2.000,85.988,0.125,0.125,2615024,144300,1235000,3788728,51.993,1980.735,0,399.946,0,25.997,1736,2244,1.620,1.660,1.180,1,0,36.995,0,0,23,78,0,22,0
21-10 22:04:36,11.868,1.624,86.072,0.250,0,2637760,121496,1235032,3788768,111498.206,111498.206,0,355.780,0,22.986,2151,2621,1.570,1.650,1.180,1,0,1.999,0,0,23,80,0,22,0
21-10 22:04:37,12.759,0.625,85.186,0.375,0.125,2639104,119856,1235232,3788880,438657.201,438657.201,0,1160.829,0,109.078,4591,5530,1.570,1.650,1.180,2,0,0,0,0,23,79,0,25,0
21-10 22:04:38,13.364,0.500,84.555,0.375,0.125,2641740,116996,1235412,3788924,462335.874,462335.874,0,971.191,0,112.906,3671,5051,1.570,1.650,1.180,2,0,0,0,0,23,78,0,25,0
21-10 22:04:39,11.010,2.127,85.824,0,0,2614332,144340,1235472,3788928,52.045,1953.696,0,800.695,0,59.051,2229,2701,1.570,1.650,1.180,1,0,62.054,0,0,23,78,0,25,0
21-10 22:04:40,12.374,0.875,86.117,0,0,2641352,117248,1235536,3788940,56918.593,56918.593,0,775.926,0,62.994,2067,2656,1.570,1.650,1.180,1,0,0,0,0,23,80,0,25,0
21-10 22:04:41,12.626,1.875,84.880,0.250,0.250,2591672,177396,1235392,3777688,217116.810,222670.138,24.001,904.053,4.000,58.003,3180,3864,1.520,1.640,1.170,1,0,41.002,0,71.004,23,78,0,27,0
21-10 22:04:42,11.747,1.375,85.732,0.375,0.125,2630204,138824,1235432,3777688,0,0,0,4059.131,0,399.914,1881,2075,1.520,1.640,1.170,1,0,1.000,0,0,23,78,0,27,0
21-10 22:04:43,12.256,0.750,85.539,0.500,0,2642136,126656,1235520,3777840,269951.638,269993.657,0,2213.014,0,130.060,3463,3931,1.520,1.640,1.170,1,0,0,0,0,23,78,0,28,0
21-10 22:04:44,11.738,1.748,85.910,0,0,2615276,153484,1235536,3777856,155.837,5994.718,0,79.916,0,5.994,1652,2187,1.520,1.640,1.170,1,0,41.956,0,0,23,78,0,28,0
21-10 22:04:45,11.505,1.501,86.661,0,0,2643556,125192,1235544,3777860,26886.319,26886.319,0,28.012,0,3.001,1354,1928,1.520,1.640,1.170,1,0,0,0,0,23,80,0,29,0
21-10 22:04:46,12.505,1.250,85.408,0.125,0,2650072,118608,1235616,3777856,397299.371,397299.371,0,224.085,0,34.013,3883,4626,1.480,1.630,1.170,3,1,2.001,0,0,23,79,0,32,0
21-10 22:04:47,11.623,2.000,84.861,0.250,0.125,2613148,155300,1235768,3777896,74718.970,76480.687,0,727.883,0,79.987,2830,3632,1.480,1.630,1.170,1,0,61.990,0,0,23,82,0,32,0
21-10 22:04:48,12.124,1.375,85.865,0,0,2654340,126320,1235620,3766356,4533.451,4533.451,0,571.931,0,31.996,1345,1914,1.480,1.630,1.170,1,0,1.000,0,64.992,23,84,0,32,0
21-10 22:04:49,12.001,1.875,85.509,0.125,0,2615608,175084,1235504,3756348,239351.893,239351.893,0,736.077,0,45.005,2845,3336,1.480,1.630,1.170,1,0,43.004,0,34.004,23,104,0,34,0
21-10 22:04:50,11.750,1.250,86.500,0,0.125,2650180,140512,1235520,3756332,156.000,6199.012,0,48.000,0,6.000,1285,1926,1.480,1.630,1.170,1,0,1.000,0,0,23,104,0,34,0
21-10 22:04:51,12.011,1.501,84.327,0.626,0.125,2671332,118848,1235872,3756412,208832.499,208832.499,0,996.914,0,151.139,3885,5145,1.440,1.620,1.170,2,0,2.002,0,0,23,106,0,36,0
21-10 22:04:52,13.614,1.374,82.931,0.749,0.125,2628560,175884,1235920,3741912,187547.211,187561.199,0,4312.395,0,585.511,3836,5086,1.440,1.620,1.170,1,0,40.966,0,73.938,23,105,0,36,0
21-10 22:04:53,12.241,0.999,85.937,0.125,0.125,2664324,140076,1235960,3741916,286.790,1836.657,3.997,599.562,0.999,39.971,1450,1945,1.440,1.620,1.170,1,0,0.999,0,0,23,105,0,36,0
21-10 22:04:54,12.760,1.001,85.317,0.500,0.250,2681316,122860,1236152,3741944,275815.239,275829.250,0,3134.457,0,216.169,3009,3333,1.440,1.620,1.170,1,0,0,0,0,23,106,0,41,0
21-10 22:04:55,14.750,0.750,83.248,0.375,0,2682560,121300,1236416,3741996,530249.744,530187.745,0,1015.975,0,125.997,4305,5708,1.440,1.620,1.170,2,0,0,0,0,23,106,0,41,0
21-10 22:04:56,19.370,2.499,77.104,0.250,0,2644468,170888,1236376,3730392,397987.941,398001.937,3.999,1167.686,1.000,101.973,4211,5050,1.490,1.630,1.180,1,0,43.988,0,91.975,23,105,0,41,0
21-10 22:04:57,12.128,1.125,86.397,0,0,2682748,132584,1236400,3730392,98.025,1896.491,0,332.086,0,23.006,1395,1846,1.490,1.630,1.180,1,0,1.000,0,0,23,105,0,40,0
21-10 22:04:58,12.998,0.625,84.360,0.375,0.125,2692472,122408,1236668,3730572,289286.953,289300.951,0,2451.576,0,213.963,4034,4869,1.490,1.630,1.180,1,0,0,0,0,23,105,0,42,0
21-10 22:04:59,11.366,2.248,85.683,0,0.125,2662976,151632,1236704,3730580,163.872,3906.941,0,699.452,0,47.962,2226,2684,1.490,1.630,1.180,1,0,81.936,0,0,23,105,0,42,0
21-10 22:05:00,12.001,1.375,85.881,0.250,0,2692312,122096,1236748,3730612,32441.109,32455.110,0,624.041,0,41.003,1635,2034,1.490,1.630,1.180,1,0,0,0,0,23,107,0,42,0
21-10 22:05:01,13.386,1.376,83.444,0.626,0,2701788,123348,1236688,3719268,540512.382,540512.382,8.007,3731.074,2.002,214.176,3754,5075,1.450,1.610,1.180,1,0,9.007,0,68.056,23,106,0,45,0
21-10 22:05:02,14.246,0.500,84.227,0.250,0,2703816,121048,1236868,3719320,489158.992,489158.992,3.999,883.756,1.000,95.974,3556,4612,1.450,1.610,1.180,1,0,0,0,0,23,106,0,45,0
21-10 22:05:03,18.503,2.375,77.388,0.250,0.125,2648676,175928,1236960,3719444,486856.358,486856.358,280.046,596.097,19.003,56.009,4157,4616,1.450,1.610,1.180,3,0,88.014,2.000,0,23,107,0,43,0
21-10 22:05:04,24.862,3.873,70.088,0.500,0,2679800,144076,1237160,3719852,461417.601,467892.228,11.994,971.494,2.998,109.943,5355,6455,1.450,1.610,1.180,2,0,75.960,0.999,0,23,107,0,43,0
21-10 22:05:05,13.382,1.376,84.291,0.250,0.125,2705756,118056,1237216,3719856,31357.240,31607.361,0,472.230,0,39.019,1822,2388,1.450,1.610,1.180,1,0,0,0,0,23,107,0,43,0
21-10 22:05:06,12.618,1.749,84.950,0.125,0.125,2659928,175932,1237052,3708540,119643.009,119615.025,0,703.588,0,43.974,2331,2627,1.410,1.600,1.180,1,0,34.980,0,78.954,23,107,0,46,0
21-10 22:05:07,12.132,1.001,86.049,0,0,2698300,137540,1237072,3708540,52.030,1286.735,0,304.174,0,21.012,1332,1820,1.410,1.600,1.180,2,0,1.001,0,0,23,107,0,46,0
21-10 22:05:08,12.491,0.999,85.440,0.125,0.125,2710716,125016,1237156,3708556,259867.793,259867.793,0,1003.293,0,69.951,2548,2920,1.410,1.600,1.180,2,0,0,0,0,23,108,0,51,0
21-10 22:05:09,13.885,0.500,84.436,0.250,0,2712620,123032,1237276,3708516,405979.553,406091.635,0,552.402,0,60.044,3080,4185,1.410,1.600,1.180,2,0,0,0,0,23,108,0,51,0
